Command,Link,Description,Preprocessed_Description
show aaa auth-survivability,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-surv.htm,This command displays the authentication survivability configuration on a stand-alone controller.,authentication survivability configuration controller
show aaa auth-survivability-cache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-cach.htm,This command displays the authentication survivability cached data on a stand-alone controller.,authentication survivability cached data controller
show aaa authentication all,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-all.htm,"This command displays a general overview of authentication statistics for a gateway, including authentication methods, successes and failures.",general overview authentication statistics gateway including authentication methods successes failures
show aaa authentication captive-portal customization,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-ath-cp-cz.htm,This command displays a list of captive portal profiles for the gateway and whether any profile is customized with non-default settings.,list captive portal profiles gateway whether profile customized settings
show aaa authentication dot1x,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-dot1.htm,"This command displays information for 802.1X authentication profiles for a gateway. The command displays the entire 802.1X Authentication profile list, including profile status and the number of references to each profile. Include a profile name to display detailed dot1x authentication configuration information for that profile. The countermeasures option indicates whether the 802.1X profiles have been configured for WPA/WPS2 countermeasures. If countermeasures have not been configured, the output for this command will be blank.",information authentication profiles gateway entire authentication profile list including profile status number references profile include profile name display detailed dot1x authentication configuration information profile countermeasures option indicates whether profiles configured countermeasures countermeasures configured output blank
show aaa authentication-server all,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-ath-srv-al.htm,"This command displays the authentication server settings for both external authentication servers and the internal controller database. The output of this command displays statistics for the Authentication Server Table, including the name and address of each server, server type and configured authorization and accounting ports.",authentication server settings external authentication servers internal controller database output statistics authentication server table including name address server server type configured authorization accounting ports
show aaa authentication-server internal,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-intv.htm,This command displays the authentication server settings for the internal controller database.,authentication server settings internal controller database
show aaa authentication-server ldap statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-ldap.htm,This command displays the configuration settings related to statistics of all LDAP servers.,configuration settings related statistics ldap servers
show aaa authentication-server radius,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-radi.htm,This command displays the configuration settings of RADIUS servers.,configuration settings radius servers
show aaa authentication-server tacacs,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-tacs.htm,This command displays configuration settings for your TACACS+ servers.,configuration settings servers
show aaa authentication-server tacacs statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaaauth-tacacs-stat.htm,"This command displays accounting, authorization, and authentication request and response statistics for the TACACS server.",accounting authorization authentication request response statistics tacacs server
show aaa authentication via global-config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-aaa-auth-via-glbl-cnfg.htm,This command displays the details of the VIA global configuration.,details via global configuration
show aaa authentication vpn,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-vpn.htm,This command displays a list of VPN profiles and VPN authentication settings for the gateway. It also indicates whether any profile is customized with non-default settings.,list vpn profiles vpn authentication settings gateway also indicates whether profile customized settings
show aaa authentication vpn,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-vpn-default.htm,This command displays VPN authentication settings for default VPN Authentication profiles.,vpn authentication settings default vpn authentication profiles
show aaa authentication vpn default,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-authvpndf.htm,"This command displays VPN authentication settings, including authentication roles and servers.",vpn authentication settings including authentication roles servers
show aaa authentication vpn default-cap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-vpn-default-cap.htm,"This command displays VPN authentication settings, including authentication roles and servers for default cap device profiles.",vpn authentication settings including authentication roles servers default cap device profiles
